WORD,DEFINITION
Gply,gingivoplasty
GPM,general preventive medicine; giant pigmented melanosome
GPMAL,"gravida, para, multiple births, abortions, and live births"
GPN,graduate practical nurse
GPOA,primary open angle glaucoma
GPP,generalist physician program; gross primary production
GPPQ,General Purpose Psychiatric Questionnaire
GPRBC,guinea pig red blood cell
GPS,Goodpasture syndrome; gray platelet syndrome; guinea pig serum; guinea pig spleen
GPT,glutamate-pyruvate transaminase; glutamic-pyruvic transaminase
GpTh,group therapy
GPU,guinea pig unit
GPUT,galactose phosphate uridyl transferase
GPWW,group practice without wall
GPX,glutathione peroxidase
GPx,glutathione peroxidase
GQAP,general question-asking program
GR,gamma-rays; gastric resection; general research; generalized rash; glucocorticoid receptor; glutathione reductase
gr,grade; graft; grain; gram; gravity; gray; gross
gr-,gram-negative
gr+,gram-positive
GRA,gated radionuclide angiography; glucocorticoid-remedial aldosteronism; gonadotropin-releasing agent
GRABS,group A beta-hemolytic streptococcal pharyngitis
grad,gradient; gradually; graduate
GRAE,generally regarded as effective
gran,"granule, granulated"
GRANDDAD,growth delay-aged facies-normal development-deficiency of subcutaneous fat [syndrome]
GRAS,generally recognized as safe
GRASS,gradient recalled acquisition in a steady state
grav,gravid
grav,"I pregnancy one, primigravida"
grav,"II pregnancy two, secundagravida"
GRB,growth factor receptor-binding protein
GRD,gastroesophageal reflux disease; gender role definition
grd,ground
GRE,glucocorticoid response element; gradient-recalled echo; Graduate Record Examination
GRECC,Geriatric Research and Education Clinical Center
GREPCO,Rome Group for the Epidemiology and Prevention of Cholelithiasis
GRF,gastrin-releasing factor; genetically related macrophage factor; gonadotropin-releasing factor; growth hormone-releasing factor
GRG,glycine-rich glycoprotein
GRH,growth hormone-releasing hormone
GRHR,gonadotropic-releasing hormone receptor
GRIA,"glutamate receptor, ionotropic, ampa"
GRID,gay-related immunodeficiency [syndrome]
GRIF,growth hormone release-inhibiting factor
GRIK,"glutamate receptor, ionotropic, kainate"
GRINA,"glutamate receptor, ionotropic, N-methyl-D-aspartate A"
GRINB,"glutamate receptor, ionotropic, N-methyl-D-aspartate B"
GRMP,granulocyte membrane protein
GRN,granules; granulin
GrN,gram-negative
Grn,green
GRO,growth-related [protein]
GROB,growth-related protein beta
GROG,growth-related protein gamma
GRP,gastrin-releasing peptide; glucose-regulated protein
GrP,gram-positive
Gr1P0AB1,"one pregnancy, no births, one abortion"
GRPR,gastrin-releasing peptide receptor
GRPS,glucose-Ringer-phosphate solution
GRS,Golabi-Rosen syndrome
GRV,ground reaction vector
GRW,giant ragweed [test]
gr,wt gross weight
GS,gallstone; Gardner syndrome; gastric shield; general surgery; gestational score; Gilbert syndrome; glomerular sclerosis; glutamine synthetase; goat serum; Goldenhar syndrome; Goodpasture syndrome; graft survival; granulocytic sarcoma; grip strength; group section; group-specific
G6S,glucosamine-6-sulfatase
gs,group specific
G/S,glucose and saline
g/s,gallons per second
GSA,general somatic afferent; group-specific antigen; Gross virus antigen; guanidinosuccinic acid
GSBG,gonadal steroid-binding globulin
GSC,gas-solid chromatography; gravity settling culture
GSCN,giant serotonin-containing neuron
GSD,genetically significant dose; Gerstmann-Straussler disease; glutathione synthetase deficiency; glycogen storage disease
GSD-0,glycogen storage disease-zero
GSE,general somatic efferent; gluten-sensitive enteropathy
GSF,galactosemic fibroblast; genital skin fibroblast
GSFR,granulocyte colony-stimulating factor receptor
GSH,glomerulus-stimulating hormone; golden Syrian hamster; reduced glutathione; L-alpha-glutamyl-L-cysteinyl-glycine
GSH-Px,glutathione peroxidase
GSI,global severity index
GSN,gelsonin; giant serotonin-containing neuron
GSoA,Gerontological Society of America
GSP,galvanic skin potential
GSR,galvanic skin response; generalized Shwartzman reaction; glutathione reductase
GSS,gamete-shedding substance; General Social Survey; Gerstmann-Straussler-Scheinker [disease]
GSSD,Gerstmann-Straussler-Scheinker disease
GSSG,oxidized glutathione
GSSG-R,glutathione reductase
GSSR,generalized Sanarelli-Shwartzman reaction
GST,glutathione-S-transferase; gold salt therapy; gold sodium thiomalate; graphic stress telethermometry; group striction
GSTA,"glutathione-S-transferase, alpha"
GST1L,glutathione-S-transferase-1-like
GSTM,"glutathione-S-transferase, mu"
GSV,gestational sac volume
GSW,gunshot wound
GSWA,"gunshot wound, abdominal"
GT,gait training; galactosyl transferase; gastrostomy; generation time; genetic therapy; gingiva treatment; Glanzmann thrombasthenia; glucose therapy; glucose tolerance; glucose transport; glucuronyl transferase; glutamyl transpeptidase; glycityrosine; granulation tissue; great toe; greater trochanter; group tensions; group therapy
GT1-GT10,"glycogen storage disease, types 1 to 10"
gt,drop [Lat. gutta]
g/t,granulation time; granulation tissue
G&T,gowns and towels
GTA,gene transfer agent; Glanzmann thrombasthenia; glycerol teichoic acid
GTB,gastrointestinal tract bleeding
GTD,gestational trophoblastic disease
GTEM,gigahertz transverse electromagnetic [cell]
GTF,glucose tolerance factor; glucosyl-transferase
GTH,gonadotropic hormone
GTHR,generalized thyroid hormone resistance
GTI,grid tiler
GTM,generalized tendomyopathy
GTN,gestational trophoblastic neoplasia; glomerulotubulonephritis; glyceryl trinitrate
GTO,Golgi tendon organ
GTP,glutamyl transpeptidase; guanosine triphosphate
GTPase,guanosine triphosphatase
GTR,galvanic tetanus ratio; granulocyte turnover rate
GTS,Gilles de la Tourette syndrome; glucose transport system
GTT,gelatin-tellurite-taurocholate [agar]; glucose tolerance test
GTV,gross tumor volume
GU,gastric ulcer; genitourinary; glucose uptake; glycogenic unit; gonococcal urethritis; gravitational ulcer; guanethidine
GUA,group of units of analysis
Gua,guanine
GUCA,guanylate cyclase activator
GUD,genitourinary dysplasia
GUI,graphic user interface
GUK,guanylate kinase
GULHEMP,"general physique, upper extremity, lower extremity, hearing, eyesight, mentality, and personality"
Guo,guanosine
GUS,genitourinary sphincter; genitourinary system
GUSTO,Global Utilization of Streptokinase and Tissue Plasminogen Activator for Occluded Coronary Arteries [trial]
GV,gastric volume; gas ventilation; gentian violet; germinal vesicle; granulosis virus; griseoviridan; Gross virus
GVA,general visceral afferent [nerve]
GVB,gelatin-Veronal buffer
GVBD,germinal vesicle breakdown
GVE,general visceral efferent [nerve]
GVF,good visual fields
GVG,gamma-vinyl-gamma-aminobutyric acid
"GVH, GvH",graft-versus-host
"GVHD, GvHD",graft-versus-host disease
"GVHR, GvHR",graft-versus-host reaction
GVL,graft versus leukemia
G vs HD,graft versus host disease
GVTY,gingivectomy
GW,germ warfare; gigawatt; glycerin in water; gradual withdrawal; group work
G/W,glucose in water
GWB,general well-being [schedule]
GWE,glycerol and water enema
GWG,generalized Wegener granulomatosis
GWUHP,George Washington University Health Plan
GX,glycinexylidide
GXT,graded exercise test
Gy,gray
GY-1,graduate year one
"GYN, Gyn,","gyn gynecologic, gynecologist, gynecology"
GZ,Guilford-Zimmerman [test]
H+,hydrogen ion
[H+],hydrogen ion concentration
H0,null hypothesis
"H1, 1H,",H1 protium
H1,alternative hypothesis
"H2, 2H,",H2 deuterium
H2,blockers histamine blockers
"H3, 3H,",H3 tritium
H1/2,half-value layer
HA,H antigen; Hakim-Adams [syndrome]; halothane anesthesia; Hartley [guinea pig]; headache; health alliance; hearing aid; height age; hemadsorption; hemagglutinating antibody; hemagglutination; hemagglutinin; hemolytic anemia; hemophiliac with adenopathy; hepatic adenoma; hepatic artery; hepatitis A; hepatitis-associated; heterophil antibody; Heyden antibiotic; high anxiety; hippuric acid; histamine; histocompatibility antigen; Horton arteritis; hospital administration; hospital admission; hospital apprentice; Hounsfield unit; human albumin; hyaluronic acid; hydroxyapatite; hyperalimentation; hyperandrogenism; hypersensitivity alveolitis; hypothalamic amenorrhea
H/A,head to abdomen; headache
HA2,hemadsorption virus 2
Ha,absolution hypermetropia; hafnium; hamster; Hartmann number
ha,hectare
HAA,hearing aid amplifier; hemolytic anemia antigen; hepatitis-associated antigen; hospital activity analysis
HAART,highly active antiretroviral therapy
HA,Ag hepatitis A antigen
HAB,histoacryl blue
HABA,2(4\u0027-hydroxyazobenzene) benzoic acid
HABF,hepatic artery blood flow
HACEK,"Haemophilus, Actinobacillus, Cardiobacterium, Eikinella, Kingella"
HAChT,high affinity choline transport
HACR,hereditary adenomatosis of the colon and rectum
hACSP,human adenylate cyclase-stimulating protein
HACS,hyperactive child syndrome
HAD,"health care alternatives development; hemadsorption; hospital administration, hospital administrator"
HAd,hemadsorption; hospital administrator
HADH,hydroxyacyl CoA dehydrogenase
HAd-I,hemadsorption-inhibition
HADS,hospital anxiety and depression scale
HAE,health appraisal examination; hearing aid evaluation; hepatic artery embolism; hereditary angioneurotic edema
HAF,hyperalimentation fluid
HaF,Hageman factor
HAFP,human alpha-fetoprotein
HAG,heat-aggregated globulin
HAGG,hyperimmune antivariola gammaglobulin
HAGH,hydroxyacyl-glutathione hydrolase
HAHTG,horse antihuman thymus globulin
HAI,hemagglutination inhibition; hepatic arterial infusion
H&A,Ins health and accident insurance
HAIR-AN,"hyperandrogenism, insulin resistance, and acanthosis nigricans [syndrome]"
HaK,hamster kidney
HAL,hepatic artery ligation; hypoplastic acute leukemia
hal,halogen; halothane
HALC,high affinity-low capacity
HALFD,hypertonic albumin-containing fluid demand
halluc,hallucinations
HALO,Halotestin
HALP,hyperalphalipoproteinemia
HaLV,hamster leukemia virus
HAM,"hearing aid microphone; helical axis in motion; human albumin microsphere; human alveolar macrophage; hypoparathyroidism, Addison disease, and mucocutaneous candidiasis [syndrome]"
HAm,human amnion
HAMA,Hamilton anxiety [scale]; human anti-murine antibody
HAMD,Hamilton depression [scale]
Ha-MSV,Harvey murine sarcoma virus
HAN,heroin-associated nephropathy; hyperplastic alveolar nodule
HANA,hemagglutinin neuraminidase
H and E,hematoxylin and eosin [stain]
Handicp,handicapped
HANE,hereditary angioneurotic edema
HANES,Health and Nutrition Examination Survey
hANF,human atrial natriuretic factor
h-ANP,human atrial natriuretic polypeptide
HAP,Handicapped Aid Program; Hazardous Air Pollutants [List]; hazardous air pollution; health alliance plan; heredopathia atactica polyneuritiformis; high-altitude peristalsis; histamine acid phosphate; hospital admissions program; humoral antibody production; hydrolyzed animal protein; hydroxyapatite
HAp,hydroxyapatite
HAPA,hemagglutinating anti-penicillin antibody
HAPC,high-amplitude peristaltic contraction; hospital-acquired penetration contact
HAPE,high-altitude pulmonary edema
HAPPHY,Heart Attack Primary Prevention in Hypertension
HAPS,hepatic arterial perfusion scintigraphy
HAPVC,hemi-anomalous pulmonary venous connection
HAPVD,hemi-anomalous pulmonary venous drainage
HAPVR,hemi-anomalous pulmonary venous return
HAQ,health assessment questionnaire
HAR,high-altitude retinopathy
HARD,hydrocephalus-agyria-retinal dysplasia [syndrome]
HARD,+/- E hydrocephalus-agyria-retinal dysplasia plus or minus encephalocele [syndrome]
HAREM,heparin assay rapid easy method
HARH,high-altitude retinal hemorrhage
HARM,heparin assay rapid method
HARP,homeless and at-risk population
HARS,histidyl-RNA synthetase
HART,Heparin-Aspirin Reinfarction Trial [not to be confused with HAART
HAS,Hamilton Anxiety Scale; health advisory service; highest asymptomatic [dose]; hospital administrative service; hospital advisory service; human albumin solution; hyperalimentation solution; hypertensive arteriosclerotic
HASCVD,hypertensive arteriosclerotic cardiovascular disease
HASHD,hypertensive arteriosclerotic heart disease
HASP,Hospital Admissions and Surveillance Program
HASS,highest anxiety subscale score
HAT,"Halsted Aphasia Test; head, arm, trunk; heparin-associated thrombocytopenia; heterophil antibody titer; hospital arrival time; hypoxanthine, aminopterin, and thymidine; hypoxanthine, azaserine, and thymidine"
HATG,horse antihuman thymocyte globulin
HATH,Heterosexual Attitudes Toward Homosexuality [scale]
HATT,heparin-associated thrombocytopenia and thrombosis
HATTS,hemagglutination treponemal test for syphilis
HAU,hemagglutinating unit
HAV,hemadsorption virus; hepatitis A virus
HAWIC,Hamburg-Wechsler Intelligence Test for Children
HAZ,MAT hazardous material
HAZWOPER,Hazardous Waste Operation and Emergency Response [of OSHA]
HB,health board; heart block; heel to buttock; held back; hemoglobin; hepatitis B; His bundle; hold breakfast; housebound; hybridoma bank; hyoid body
Hb,hemoglobin
HbA,"hemoglobin A, adult hemoglobin"
HBA1,glycosylated hemoglobin
HBAb,hepatitis B antibody
HBABA,hydroxybenzeneazobenzoic acid
HBAg,hepatitis B antigen
HBsAG,hepatitis B surface virus
HBB,hemoglobin beta-chain; hospital blood bank; hydroxybenzyl benzimidazole
HbBC,hemoglobin binding capacity
HBBW,hold breakfast blood work
HBC,hereditary breast cancer
"HBc, HBC,",HBc hepatitis B core [antigen]
HbC,hemoglobin C
"HBcAg, HBcAg,",HBCAG hepatitis B core antigen
HBCG,heat-aggregated Calmette-Guerin bacillus
HbCO,carboxyhemoglobin
Hb,CS hemoglobin Constant Spring
HbCV,Haemophilus influenzae conjugate vaccine
HBD,has been drinking; hydroxybutyric dehydrogenase; hypophosphatemic bone disease
HbD,hemoglobin D
HBDH,hydroxybutyrate dehydrogenase
HBDT,human basophil degranulation test
HBE,His bundle electrogram
HbE,hemoglobin E
"HBeAg, HBeAg,",HBEAG hepatitis B early [antigen]
HBF,hand blood flow; hemispheric blood flow; hemoglobinuric bilious fever; hepatic blood flow; hypothalamic blood flow
HbF,"fetal hemoglobin, hemoglobin F"
Hbg,hemoglobin
HBGF,heparin-binding growth factor
HBGM,home blood glucose monitoring
HBGR,hemoglobin-gamma regulator HbH hemoglobin H
Hb-Hp,hemoglobin-haptoglobin [complex]
HBI,high serum-bound iron
"HBIG, HBIg",hepatitis B immunoglobulin
HBL,hepatoblastoma
HBLA,human B-cell lymphocyte antigen
HBLV,human B-cell lymphotropic virus
HBM,health belief model; hypertonic buffered medium
HbM,hemoglobin Milwaukee
HbMet,methemoglobin
HBO,"hyperbaric oxygenation, hyperbaric oxygen"
HbO,oxyhemoglobin
HbO2,oxyhemoglobin
HBOC,hereditary breast-ovarian cancer
HBOT,hyperbaric oxygen therapy
HBP,heartbeat period; hepatic binding protein; high blood pressure; hospital-based practice
HbP,primitive hemoglobin
HBr,hydrobromic acid
HbR,reduced hemoglobin
HBS,hepatitis B surface [antigen]; hyperkinetic behavior syndrome
HBs,hepatitis B surface [antigen]
HbS,"hemoglobin S, sickle-cell hemoglobin"
HBSAg,IgG antibody to HBsAg
"HBsAg, HBsAg,",HBSAG hepatitis B surface antigen
HBsAg/adr,hepatitis B surface antigen manifesting group-specific determinant a and subtype-specific determinants d and r
HBSC,hematopoietic blood stem cell
HBSS,Hank\u0027s balanced salt solution
HbSS,hemoglobin SS
HBT,human brain thromboplastin; human breast tumor
